연번,시설명,군구,소재지,지정년도,lat,lng
74,메인프라자,남동구,성말로13번길 15(구월동),2022,37.4462629527569,126.701786704974
75,구월지웰시티 푸르지오,남동구,남동대로799번길 34(구월동),2022,37.4543946528772,126.707187770716
76,아이플렉스,남동구,논고개로123번길 17(논현동),2023,37.4016848854965,126.723083704409
77,에코메트로3차 더타워,남동구,소래역남로 40(논현동),2023,37.4001848572004,126.73227185208
78,신비플라자,남동구,장승로 9(만수동),2023,37.4466293262362,126.734235523613
79,성우네오빌,남동구,백범로 457(간석동),2024,37.467903046107,126.700187599972
80,장승백이상가 5동,남동구,장승로 25(만수동),2024,37.4456697258957,126.735833001435
81,전방프라자,부평구,인천광역시 부평구 안남로 261,2008,37.5062512651935,126.708580379553
82,산곡메디칼센타,부평구,인천광역시 부평구 원적로 290,2008,37.5044556703264,126.69835602128
83,동아웰빙타운,부평구,인천광역시 부평구 부흥로 264,2008,37.4983288516016,126.721051728371
84,세광훼밀리 프라자,부평구,인천광역시 부평구 굴포로 42,2008,37.511582208528,126.725732649631
85,대우프라자,부평구,인천광역시 부평구 세월천로 34,2009,37.513261812583,126.70561477128
86,부평가정교회,부평구,인천광역시 부평구 길주로 475,2009,37.5080819648216,126.715024003439
87,신한은행 부평점,부평구,인천광역시 부평구 부흥로 337,2009,37.4986033592123,126.72956424906
88,금강프라자,부평구,인천광역시 부평구 주부토로 223,2009,37.5151752865932,126.725838155551
89,신선설농탕 부평점,부평구,인천광역시 부평구 장제로 206(부평동),2009,37.5037686303343,126.731301192377
90,양평신내 서울해장국,부평구,인천광역시 부평구 마장로 191,2009,37.495143291771,126.702631336675
91,미라쥬타워,부평구,인천광역시 부평구 길주로 659,2013,37.5071376647226,126.735897832003
92,KB증권 부평점,부평구,인천광역시 부평구 부평대로 70,2013,37.4978186238199,126.722701854502
93,하이존빌딩,부평구,인천광역시 부평구 체육관로 32,2014,37.5082883689579,126.735148437087
94,한국마사회 부평지사,부평구,인천광역시 부평구 장제로 54,2014,37.4902109882814,126.729973081916
95,남광센트렉스,부평구,인천광역시 부평구 부평대로 301,2015,37.5187406000291,126.720860156048
96,경인교회,부평구,인천광역시 부평구 마장로 14,2015,37.4802523771271,126.710464099919
97,산곡3동성당,부평구,인천광역시 부평구 화랑북로 17,2015,37.4960763260622,126.704804830064
98,인천나누리병원,부평구,인천광역시 부평구 장제로 156(부평동),2017,37.4995157561752,126.731002724681
99,애니카랜드 청천점,부평구,인천광역시 부평구 평천로 144,2018,37.5192454248003,126.707200599092
100,부평테크노타워,부평구,인천광역시 부평구 새벌로 29,2020,37.5194919885386,126.715366915848
101,현대3차아파트 상가,부평구,인천광역시 부평구 마장로 121,2021,37.4899042021129,126.704778463553
102,산곡동천주교회,부평구,인천광역시 부평구 마장로 379(산곡동),2023,37.5122019826062,126.703281225329
103,SK에너지㈜ 삼산주유소,부평구,인천광역시 부평구 장제로 347(삼산동),2024,37.5164879483002,126.731839941907
104,파리상뜨,부평구,인천광역시 부평구 부평대로 152,2024,37.5051525768911,126.72173025714
105,맘모스타운,계양구,도두리로 14(작전동),2009,37.5337192316197,126.735566643338
106,자이빌딩,계양구,경명대로 1139(계산동),2009,37.5433177419016,126.733802722831
107,이마트계양점,계양구,봉오대로 785(작전동),2009,37.5310380372084,126.736896747731
108,계산프라자,계양구,용종로 2(계산동),2010,37.5340079939903,126.741463532554
109,홈플러스계산점,계양구,오조산공원로 14(계산동),2010,37.53947222987,126.736186863821
110,영프라자,계양구,장제로 728(작전동),2011,37.5327981077727,126.734267441554
111,홈플러스작전점,계양구,계양대로 27(작전동),2011,37.5261776724309,126.721258150569
112,롯데마트계양점,계양구,장제로 822(계산동),2012,37.5408492649713,126.736003459808
113,에이스타운,계양구,계양대로 214(계산동),2013,37.5430485388663,126.723035805222
114,라이즈빌,계양구,계양문화로 44(계산동),2013,37.5345605849968,126.736736610332
115,세종팰리스,계양구,장제로 714(작전동),2015,37.5313571563654,126.734234426823
116,한림병원,계양구,장제로 722(작전동),2015,37.5322470280813,126.734334677371
117,노블빌딩,계양구,안남로 512(효성동),2016,37.5287439087359,126.711434005487
118,삼환1빌딩,계양구,경명대로 1074(계산동),2016,37.543096864921,126.72621797931
119,더드림병원,계양구,계양대로 123(작전동),2016,37.5350000691274,126.722251515838
120,KT&G북인천지사,계양구,경명대로 1011(계산동),2017,37.5440795166316,126.719244778921
121,장원빌딩,계양구,장제로 916(병방동),2017,37.5481442556141,126.741450701599
122,태주빌딩,계양구,아나지로417번길 20(작전동),2018,37.5274049086492,126.738872665107
123,호진A,계양구,계양대로 58(작전동),2018,37.5290966699112,126.723071222019
124,호진B,계양구,계양대로 58-1(작전동),2018,37.5290819626891,126.723600739623
125,호진E,계양구,계양대로 56(작전동),2018,37.5287125060893,126.723657650991
126,유연프라자,계양구,오조산로45번길 12(계산동),2019,37.535259484806,126.737260492545
127,해룡빌딩,계양구,장제로 1013(박촌동),2020,37.5560487998765,126.745314428263
128,삼성프라자,계양구,계양대로 101(작전동),2020,37.5328025299336,126.722134647121
129,새롬2차프라자,계양구,오조산로 91(용종동),2022,37.5390429509577,126.738598207712
130,효성프라자,계양구,안남로 548(효성동),2023,37.5319232757046,126.711071030591
131,이프라자,계양구,도두리로 21(계산동),2023,37.5341822052637,126.736713954549
132,영프라자,서구,원당대로 660(당하동),2009,37.5932888053233,126.67429761223
133,한종프라자,서구,원당대로 663(마전동),2009,37.5939436315078,126.674881522154
134,당하메디칼센터,서구,청마로 163(당하동),2011,37.591989501147,126.676595240024
135,현우프라자,서구,승학로 574(검암동),2012,37.5666608698106,126.683244433679
136,창신프라자,서구,원당대로 852(당하동),2012,37.5933546982449,126.696028030958
137,으뜸빌딩,서구,완정로 190(마전동),2014,37.6030607566118,126.655488852854
138,월드불로마트,서구,검단로 836(불로동),2015,37.6184252957966,126.693074462856
139,동곡프라자,서구,승학로 551(검암동),2015,37.5666816945656,126.68060690761
140,인하메디컬센터,서구,건지로 264(가좌동),2019,37.4988948864269,126.671507894749
141,인천연세병원,서구,승학로 320(연희동),2020,37.550300634424,126.674402721605
142,태평주유소,서구,서곶로 259(심곡동),2020,37.5405620791872,126.676282976505
143,에이스타워,서구, 봉오재3로 94번길19(가정동),2021,37.5268004233396,126.671161118541
144,성한캐슬,서구,길주로 79(석남동),2024,37.5067648282733,126.670878962969
145,계림가든,강화군,강화읍 강화대로 381,2014,37.7442911388676,126.487854806803
146,경인북부수협,강화군,강화읍 강화대로 383,2014,37.7446832539393,126.487796623001
147,강화인삼협동조합,강화군,강화읍 강화대로 335,2014,37.7422081141086,126.492519492992
148,강화군산림조합,강화군,선원면 중앙로 115,2015,37.7335496619252,126.489838725979
149,바이더웨이편의점,강화군,길상면 해안남로 92,2014,37.619332988451,126.534405938402
150,권능교회,강화군,양도면 고려왕릉로199번길 20,2014,37.6646390531806,126.463995986518
151,하나로마트(양도),강화군,양도면 강화남로 700,2014,37.6618772085525,126.421853113498
152,양갑리마을회관,강화군,교동면 교동서로 264,2014,37.7739456663103,126.251495593192
153,교동향교,강화군,교동면 교동남로 229-49,2014,37.7749922833804,126.297000616714
154,강화에너지 주유소,강화군,강화읍 중앙로 67,2014,37.7374442023004,126.488768046572
155,강화버스터미널,강화군,강화읍 중앙로 43,2014,37.7397766771195,126.490406706965
156,중앙시장(B동),강화군,강화읍 강화대로 430,2014,37.7475954588945,126.484189041379
