연번,시설명,군구,소재지,지정년도
106,자이빌딩,계양구,경명대로 1139(계산동),2009
107,이마트계양점,계양구,봉오대로 785(작전동),2009
108,계산프라자,계양구,용종로 2(계산동),2010
109,홈플러스계산점,계양구,오조산공원로 14(계산동),2010
110,영프라자,계양구,장제로 728(작전동),2011
111,홈플러스작전점,계양구,계양대로 27(작전동),2011
112,롯데마트계양점,계양구,장제로 822(계산동),2012
113,에이스타운,계양구,계양대로 214(계산동),2013
114,라이즈빌,계양구,계양문화로 44(계산동),2013
115,세종팰리스,계양구,장제로 714(작전동),2015
116,한림병원,계양구,장제로 722(작전동),2015
117,노블빌딩,계양구,안남로 512(효성동),2016
118,삼환1빌딩,계양구,경명대로 1074(계산동),2016
119,더드림병원,계양구,계양대로 123(작전동),2016
120,KT&G북인천지사,계양구,경명대로 1011(계산동),2017
121,장원빌딩,계양구,장제로 916(병방동),2017
122,태주빌딩,계양구,아나지로417번길 20(작전동),2018
123,호진A,계양구,계양대로 58(작전동),2018
124,호진B,계양구,계양대로 58-1(작전동),2018
125,호진E,계양구,계양대로 56(작전동),2018
126,유연프라자,계양구,오조산로45번길 12(계산동),2019
127,해룡빌딩,계양구,장제로 1013(박촌동),2020
128,삼성프라자,계양구,계양대로 101(작전동),2020
129,새롬2차프라자,계양구,오조산로 91(용종동),2022
130,효성프라자,계양구,안남로 548(효성동),2023
131,이프라자,계양구,도두리로 21(계산동),2023
132,영프라자,서　구,원당대로 660(당하동),2009
133,한종프라자,서　구,원당대로 663(마전동),2009
134,당하메디칼센터,서　구,청마로 163(당하동),2011
135,현우프라자,서　구,승학로 574(검암동),2012
136,창신프라자,서　구,원당대로 852(당하동),2012
137,으뜸빌딩,서　구,완정로 190(마전동),2014
138,월드불로마트,서　구,검단로 836(불로동),2015
139,동곡프라자,서　구,승학로 551(검암동),2015
140,인하메디컬센터,서　구,건지로 264(가좌동),2019
141,인천연세병원,서　구,승학로 320(연희동),2020
142,태평주유소,서　구,서곶로 259(심곡동),2020
143,에이스타워,서   구, 봉오재3로 94번길19(가정동),2021
144,성한캐슬,서　구,길주로 79(석남동),2024
145,계림가든,강화군,강화읍 강화대로 381,2014
146,경인북부수협,강화군,강화읍 강화대로 383,2014
147,강화인삼협동조합,강화군,강화읍 강화대로 335,2014
148,강화군산림조합,강화군,선원면 중앙로 115,2015
149,바이더웨이편의점,강화군,길상면 해안남로 92,2014
150,권능교회,강화군,양도면 고려왕릉로199번길 20,2014
151,하나로마트(양도),강화군,양도면 강화남로 700,2014
152,양갑리마을회관,강화군,교동면 교동서로 264,2014
153,교동향교,강화군,교동면 교동남로 229-49,2014
154,강화에너지 주유소,강화군,강화읍 중앙로 67,2014
155,강화버스터미널,강화군,강화읍 중앙로 43,2014
156,중앙시장(B동),강화군,강화읍 강화대로 430,2014
157,중앙시장(A동),강화군,강화읍 강화대로 429,2014
158,양갑주유소,강화군,교동면 교동서로 274,2014
159,온수주유소,강화군,길상면 초지로 568,2017
160,서강화농협주유소,강화군,교동면 교동동로 480,2017
161,두운주유소,강화군,불은면 강화동로 508,2014
